,Name,Link,Tier,Type,Location,Portfolio,# Investments
189,Asia Capital Pioneers Grou...,https://cryptorank.io/funds/asia-capital-pioneers-group,3,Venture,Hong Kong,DiMuto,1
190,Aslanoba Capital,https://cryptorank.io/funds/aslanoba-capital,3,Venture,Turkey,Colendi,1
191,Astar Network,https://cryptorank.io/funds/astar-network,3,Corporation,Japan,Satori,1
192,Atalaya Capital,https://cryptorank.io/funds/atalaya-capital,3,Venture,United States,Alt,1
193,Atari,https://cryptorank.io/funds/atari,3,Venture,France,Animoca Brands,1
194,Atreides Management,https://cryptorank.io/funds/atreides-management,3,Venture,United States,Republic Note,1
195,Austin Rief Ventures,https://cryptorank.io/funds/austin-rief-ventures,3,Venture,United States,ZenGo,1
196,Ausvic Capital,https://cryptorank.io/funds/ausvic-capital,3,Venture,Hong Kong,Slope Finance,1
197,Autotech Ventures,https://cryptorank.io/funds/autotech-ventures,3,Venture,United States,BasicBlock,1
198,Awesome People Ventures,https://cryptorank.io/funds/awesome-people-ventures,3,Venture,United States,Spritz Finance,1
199,Axion Global Asset Managem...,https://cryptorank.io/funds/axion-global-asset-management,3,Venture,Hong Kong,HKbitEX,1
200,Babylons,https://cryptorank.io/funds/babylons,3,Corporation,N/A,Swords of Blood ,1
201,Backstage Capital,https://cryptorank.io/funds/backstage-capital,3,Venture,United States,Filament,1
202,Balthazar,https://cryptorank.io/funds/balthazar,3,DAO,N/A,E4C: Final Salvation,1
203,Bank of Ayudhya,https://cryptorank.io/funds/bank-of-ayudhya,3,Corporation,Thailand,Forward,1
204,Bank of Montreal,https://cryptorank.io/funds/bank-of-montreal,3,Corporation,Canada,Creative Destruction Lab,1
205,Baofu,https://cryptorank.io/funds/baofu,3,Corporation,China,Wyre,1
206,Base10 Partners,https://cryptorank.io/funds/base10-partners,3,Venture,United States,TokenSoft,1
207,BBTV Holdings,https://cryptorank.io/funds/bbtv-holdings,3,Corporation,Canada,Nifty's,1
208,BBVA,https://cryptorank.io/funds/bbva,3,Corporation,Spain,Carbonplace,1
209,Beacon Securities,https://cryptorank.io/funds/beacon-securities,3,Venture,Canada,Immutable Holdings,1
210,Bharti Enterprises,https://cryptorank.io/funds/bharti-enterprises,3,Corporation,India,Hike,1
211,Bidesk,https://cryptorank.io/funds/bidesk,3,Venture,British Virgin Islands,UniLend,1
212,Bit2Me,https://cryptorank.io/funds/bit2me,3,Corporation,Spain,Wagmi Venture Studio,1
213,BIT (Crypto Exchange),https://cryptorank.io/funds/bit,3,Exchange,Seychelles,Greeks.live,1
214,Bit Digital,https://cryptorank.io/funds/bit-digital,3,Corporation,United States,Auros,1
215,BitGo,https://cryptorank.io/funds/bitgo,3,Corporation,United States,HeightZero,1
216,BitValue Capital,https://cryptorank.io/funds/bitvalue-capital,3,Venture,Canada,IOStoken,1
217,Blocbits,https://cryptorank.io/funds/blocbits,3,Venture,N/A,Talis Protocol,1
218,Blockchain Finance Fund,https://cryptorank.io/funds/blockchain-finance-fund,3,Venture,United States,Coinme,1
219,Blockchain Infrastructure ...,https://cryptorank.io/funds/blockchain-infrastructure-alliance,3,Venture,N/A,Gemini Dollar,1
220,BlockCorp,https://cryptorank.io/funds/block-corp,3,Corporation,Netherlands,BTC.com,1
221,BlockScience,https://cryptorank.io/funds/blockscience,3,Venture,United States,Ceramic,1
222,Blockware Solutions,https://cryptorank.io/funds/blockware-solutions,3,Corporation,United States,Luxor,1
223,Blowfish Studios,https://cryptorank.io/funds/blowfish-studios,3,Corporation,Australia,Aradena,1
224,Bluepoint Partners,https://cryptorank.io/funds/bluepoint-partners,3,Venture,South Korea,Streami,1
225,BlueZilla,https://cryptorank.io/funds/bluezilla,3,Venture,Singapore,NeoFi,1
226,Boathouse Capital,https://cryptorank.io/funds/boathouse-capital,3,Venture,United States,PolySign,1
227,Bondly,https://cryptorank.io/funds/bondly,3,Corporation,Canada,Galaxy Fight Club,1
228,Bonfida,https://cryptorank.io/funds/bonfida,3,Corporation,China,Swim Protocol,1
229,BoringDAO,https://cryptorank.io/funds/boring-dao,3,DAO,Seychelles,Shade Protocol,1
230,Bounce,https://cryptorank.io/funds/bounce,3,DAO,United States,Space Runners,1
231,Boyu Capital,https://cryptorank.io/funds/boyu-capital,3,Venture,China,Animoca Brands,1
