,Name,Link,Tier,Type,Location,Portfolio,# Investments
7958,Naimish Sanghvi,https://cryptorank.io/funds/naimish-sanghvi,N/A, Angel Investor,N/A,Lumos Labs,1
7959,Najeeb Khan,https://cryptorank.io/funds/najeeb-khan,N/A, Angel Investor,N/A,SIMBA Chain,1
7960,Nalden,https://cryptorank.io/funds/nalden,N/A, Angel Investor,N/A,Basement,1
7961,NALO ROAD,https://cryptorank.io/funds/naloroad,N/A, Angel Investor,United States,Helio,1
7962,Namit Merchant,https://cryptorank.io/funds/namit-merchant,N/A, Angel Investor,N/A,Medallion,1
7963,Narendra Rathi,https://cryptorank.io/funds/narendra-rathi,N/A, Angel Investor,N/A,DaoLens,1
7964,Narendra Rocherolle,https://cryptorank.io/funds/narendra-rocherolle,N/A, Angel Investor,N/A,XMTP,1
7965,Nasir Jones,https://cryptorank.io/funds/nasir-jones,N/A, Angel Investor,N/A,Step,1
7966,Nat Brown,https://cryptorank.io/funds/nat-brown,N/A, Angel Investor,N/A,Blockchain.com,1
7967,Nat Eliason,https://cryptorank.io/funds/nat-eliason,N/A, Angel Investor,N/A,XMTP,1
7968,Nate Mitchell,https://cryptorank.io/funds/nate-mitchell,N/A, Angel Investor,N/A,Inworld AI,1
7969,Nathalie McGrath,https://cryptorank.io/funds/nathalie-mcgrath,N/A, Angel Investor,N/A,Syndicate,1
7970,Nathan Blecharczyk,https://cryptorank.io/funds/nathan-blecharczyk,N/A, Angel Investor,N/A,Sfox,1
7971,Nathaniel Herman,https://cryptorank.io/funds/nathaniel-herman,N/A, Angel Investor,N/A,Affine,1
7972,Nathaniel Whittemore,https://cryptorank.io/funds/nathaniel-whittemore,N/A, Angel Investor,N/A,Syndicate,1
7973,Nathan Montone,https://cryptorank.io/funds/nathan-montone,N/A, Angel Investor,N/A,Fluence,1
7974,Naveen Jain,https://cryptorank.io/funds/naveen-jain,N/A, Angel Investor,N/A,Hologram,1
7975,Nav Sooch,https://cryptorank.io/funds/nav-sooch,N/A, Angel Investor,United States,Cormint,1
7976,Ndamukong Suh,https://cryptorank.io/funds/ndamukong-suh,N/A, Angel Investor,United States,Genies,1
7977,Nebulae,https://cryptorank.io/funds/nebulae,N/A,Venture,N/A,Degis,1
7978,Needham Bank,https://cryptorank.io/funds/needham-bank,N/A,Corporation,N/A,Jassby,1
7979,Neeraj Khandelwal,https://cryptorank.io/funds/nrjkhandelwal,N/A, Angel Investor,N/A,DaoLens,1
7980,Neil Harounian,https://cryptorank.io/funds/neil-harounian,N/A, Angel Investor,United States,Myco,1
7981,Nelson Ryan,https://cryptorank.io/funds/nelson-ryan,N/A, Angel Investor,Australia,Samudai,1
7982,Nemil Dalal,https://cryptorank.io/funds/nemil-dalal,N/A, Angel Investor,United States,Stader,1
7983,Net Jacobsson,https://cryptorank.io/funds/net-jacobsson,N/A, Angel Investor,N/A,Metagood,1
7984,New Capital Partners,https://cryptorank.io/funds/new-capital-partners,N/A,Venture,United States,Sperax,1
7985,NFT STARS,https://cryptorank.io/funds/nft-stars,N/A,Corporation,N/A,ShoeFy,1
7986,Ngozi Dozie,https://cryptorank.io/funds/ngozi-dozie,N/A, Angel Investor,N/A,Afropolitan,1
7987,Nic Carter,https://cryptorank.io/funds/nic-carter,N/A, Angel Investor,N/A,STFX,1
7988,Niche Capital,https://cryptorank.io/funds/niche-capital,N/A,Venture,N/A,Evaluate,1
7989,Nicholas Chirls,https://cryptorank.io/funds/nicholas-chirls,N/A, Angel Investor,United States,Privy,1
7990,Nicholas Hu,https://cryptorank.io/funds/nicholas-hu,N/A, Angel Investor,N/A,BuidlerDAO,1
7991,Nicholas Shekerdemian,https://cryptorank.io/funds/nicholas-shekerdemian,N/A, Angel Investor,N/A,Verse,1
7992,Nick Avramov,https://cryptorank.io/funds/nick-avramov,N/A, Angel Investor,N/A,Contango,1
7993,Nick Beattie,https://cryptorank.io/funds/nick-beattie,N/A, Angel Investor,N/A,Daylight,1
7994,Nick Button-Brown,https://cryptorank.io/funds/nick-button-brown,N/A, Angel Investor,United Kingdom,Petaverse Network,1
7995,Nick Caldwell,https://cryptorank.io/funds/nick-caldwell,N/A, Angel Investor,United States,Mad Realities,1
7996,Nick de Bontin,https://cryptorank.io/funds/nick-de-bontin,N/A, Angel Investor,N/A,Alliance DAO,1
7997,Nick Emmons,https://cryptorank.io/funds/nick-emmons,N/A, Angel Investor,United States,Layer3,1
7998,Nick Flammel,https://cryptorank.io/funds/nick-flammel,N/A, Angel Investor,N/A,Apollo DAO,1
7999,Nicki Minaj,https://cryptorank.io/funds/nicki-minaj,N/A, Angel Investor,N/A,Bluecoat,1
8000,Nick Molnar,https://cryptorank.io/funds/nick-molnar,N/A, Angel Investor,N/A,Untamed Planet,1
8001,Nick Myers,https://cryptorank.io/funds/nick-myers,N/A, Angel Investor,N/A,Dmail,1
8002,Nick Ward,https://cryptorank.io/funds/nick-ward,N/A, Angel Investor,N/A,EnterDAO,1
8003,Nico Arqueros,https://cryptorank.io/funds/nico-arqueros,N/A, Angel Investor,N/A,IPOR Labs,1
8004,Nicolas Cardyn,https://cryptorank.io/funds/nicolas-cardyn,N/A, Angel Investor,N/A,Footium,1
8005,Nicolas Dessaigne,https://cryptorank.io/funds/nicolas-dessaigne,N/A, Angel Investor,United States,Tenderly,1
8006,Nicolas Hourcard,https://cryptorank.io/funds/nicolashrd,N/A, Angel Investor,United Kingdom,Altitude,1
8007,Nicolas Pinto,https://cryptorank.io/funds/nicolas-pinto,N/A, Angel Investor,N/A,Ledger,1
8008,Nicolas Rémond,https://cryptorank.io/funds/nicolas-remond,N/A, Angel Investor,N/A,Contango,1
8009,Nicolas Steegmann,https://cryptorank.io/funds/nicolas-steegmann,N/A, Angel Investor,France,Kinetix,1
8010,Nicole Liu,https://cryptorank.io/funds/nicole-liu,N/A, Angel Investor,N/A,Footprint Analytics,1
8011,Nico Wittenborn,https://cryptorank.io/funds/nico-wittenborn,N/A, Angel Investor,N/A,Footium,1
8012,Niftynaut,https://cryptorank.io/funds/niftynaut,N/A, Angel Investor,N/A,Ready Player Me,1
8013,Nikhil Kamath,https://cryptorank.io/funds/nikhilkamath,N/A, Angel Investor,India,Nas Academy,1
8014,Nikita Bier,https://cryptorank.io/funds/nikita-bier,N/A, Angel Investor,United States,Rainbow,1
8015,Nikki Farb,https://cryptorank.io/funds/nikki-farb,N/A, Angel Investor,N/A,Virtualness,1
8016,Nik Milanovic,https://cryptorank.io/funds/nik-milanovic,N/A, Angel Investor,United States,Conduit,1
8017,Niko Kovac,https://cryptorank.io/funds/niko-kovac,N/A, Angel Investor,N/A,The Football Club,1
8018,Nikolai Heum,https://cryptorank.io/funds/nikolai-heum,N/A, Angel Investor,N/A,Nansen,1
8019,Nilay Arora,https://cryptorank.io/funds/nilay-arora,N/A, Angel Investor,N/A,Glip,1
8020,NiMA,https://cryptorank.io/funds/nima,N/A, Angel Investor,N/A,Otterspace,1
8021,Nimesh Kampani,https://cryptorank.io/funds/nimesh-kampani,N/A, Angel Investor,N/A,KoinBasket,1
8022,Nina Teng,https://cryptorank.io/funds/nina-teng,N/A, Angel Investor,N/A,Playdex,1
8023,Ninja4,https://cryptorank.io/funds/ninja4,N/A,Venture,N/A,Aligned,1
8024,Niraj Pant,https://cryptorank.io/funds/niraj-pant,N/A, Angel Investor,N/A,Syndicate,1
8025,Niraj Singh,https://cryptorank.io/funds/niraj-singh,N/A, Angel Investor,India,Listed Fans,1
8026,Nisa Amoils,https://cryptorank.io/funds/nisa-amoils,N/A, Angel Investor,N/A,Nansen,1
8027,Nischal Shetty,https://cryptorank.io/funds/nischal-shetty,N/A, Angel Investor,India,Dapps,1
8028,Nishal Shetty,https://cryptorank.io/funds/nishal-shetty,N/A, Angel Investor,N/A,Arcana Network,1
8029,Nitin Gupta,https://cryptorank.io/funds/nitin-gupta,N/A, Angel Investor,India,Flint,1
8030,Nitya Subramanian,https://cryptorank.io/funds/nitya-subramanian,N/A, Angel Investor,N/A,Syndicate,1
8031,Njoku Emmanuel,https://cryptorank.io/funds/njoku-emmanuel,N/A, Angel Investor,N/A,Afropolitan,1
8032,Nnamdi,https://cryptorank.io/funds/nnamdi,N/A, Angel Investor,N/A,Afropolitan,1
8033,nnnnicholas,https://cryptorank.io/funds/nnnnicholas,N/A, Angel Investor,Canada,PartyDAO,1
8034,Noah Gale,https://cryptorank.io/funds/noah-gale,N/A, Angel Investor,N/A,Spinamp,1
8035,Noah Goodhart,https://cryptorank.io/funds/noah-goodhart,N/A, Angel Investor,N/A,Step,1
8036,Noah Seidman,https://cryptorank.io/funds/captain-rational,N/A, Angel Investor,N/A,TapiocaDAO,1
8037,Noam Gottesman,https://cryptorank.io/funds/noam-gottesman,N/A, Angel Investor,N/A,ScienceMagic.Studios,1
8038,Nodar Janashia,https://cryptorank.io/funds/nodar-janashia,N/A, Angel Investor,N/A,prePO,1
8039,Noel Miller,https://cryptorank.io/funds/noel-miller,N/A, Angel Investor,N/A,Lolli,1
8040,Nolan Romero,https://cryptorank.io/funds/nolan-romero,N/A, Angel Investor,United States,Alliance DAO,1
8041,nope,https://cryptorank.io/funds/nope,N/A, Angel Investor,N/A,Bastion Protocol,1
8042,Nop Jiarathanakul,https://cryptorank.io/funds/nopjia,N/A, Angel Investor,N/A,Hologram,1
8043,NTT Data,https://cryptorank.io/funds/ntt-data,N/A,Corporation,N/A,TradeWaltz,1
8044,Nu Dao,https://cryptorank.io/funds/nu-dao,N/A, Angel Investor,N/A,buildspace,1
8045,numo.eth,https://cryptorank.io/funds/numo-eth,N/A, Angel Investor,N/A,Phi,1
8046,Nuseir Yassin,https://cryptorank.io/funds/nuseir-yassin,N/A, Angel Investor,N/A,Virtualness,1
8047,NVC,https://cryptorank.io/funds/nvc,N/A,Venture,N/A,Degis,1
8048,NyanQueen Wengie,https://cryptorank.io/funds/nyanqueen-wengie,N/A, Angel Investor,N/A,Eizper Chain,1
8049,Oaksprout,https://cryptorank.io/funds/oaksprout,N/A, Angel Investor,N/A,Ceramic,1
8050,Oaktree Capital Management,https://cryptorank.io/funds/oaktree-capital,N/A,Venture,United States,Unblocked,1
8051,Ocean Crest Investments,https://cryptorank.io/funds/ocean-crest-investments,N/A,Venture,N/A,DiMuto,1
8052,Octavio Herrera,https://cryptorank.io/funds/octavio-herrera,N/A, Angel Investor,N/A,Lucid Sight,1
8053,Odera Ume-Ezeoke,https://cryptorank.io/funds/oderaue,N/A, Angel Investor,United Kingdom,Altitude,1
8054,Oghosa,https://cryptorank.io/funds/oghosa,N/A, Angel Investor,N/A,Afropolitan,1
8055,Ogo,https://cryptorank.io/funds/ogo,N/A, Angel Investor,N/A,EVEN,1
8056,OKG Ventures,https://cryptorank.io/funds/okg-ventures,N/A,Venture,N/A,Outland,1
8057,Oliver Blakey,https://cryptorank.io/funds/oliver-blakey,N/A, Angel Investor,N/A,MixMob,1
8058,Oliver Jung,https://cryptorank.io/funds/oliver-jung,N/A, Angel Investor,N/A,Trace Finance,1
8059,Olivia Wang,https://cryptorank.io/funds/olivia-wang,N/A, Angel Investor,N/A,TRLab,1
8060,Olivier Crespin,https://cryptorank.io/funds/olivier-crespin,N/A, Angel Investor,N/A,nobank,1
8061,Olivier Murguet,https://cryptorank.io/funds/olivier-murguet,N/A, Angel Investor,France,Agrotools,1
8062,Olivier Pomel,https://cryptorank.io/funds/olivier-pomel,N/A, Angel Investor,United States,Kurtosis,1
8063,Olumide Soyombo,https://cryptorank.io/funds/olumide-soyombo,N/A, Angel Investor,Nigeria,Afropolitan,1
8064,Oluwatobi Soyombo,https://cryptorank.io/funds/oluwatobi-soyombo,N/A, Angel Investor,N/A,Payourse,1
8065,Omar Bohsali,https://cryptorank.io/funds/omar-bohsali,N/A, Angel Investor,N/A,Alliance DAO,1
8066,Omar Rahim,https://cryptorank.io/funds/omar-rahim,N/A, Angel Investor,N/A,KoinBasket,1
8067,Omer Shlomovits,https://cryptorank.io/funds/omershlomovits,N/A, Angel Investor,N/A,Sunscreen,1
8068,Onchain Wizard,https://cryptorank.io/funds/onchain-wizard,N/A, Angel Investor,N/A,PRINT3R,1
8069,Openner,https://cryptorank.io/funds/openner,N/A,Incubator,United States,InGame Sports,1
8070,Orca Capital,https://cryptorank.io/funds/orca-capital,N/A,Venture,N/A,EmpireDAO,1
8071,Origin VC,https://cryptorank.io/funds/origin-ventures,N/A,Venture,N/A,LEVERADE,1
8072,Orlando Bloom,https://cryptorank.io/funds/orlando-bloom,N/A, Angel Investor,N/A,Collectibles,1
8073,Osama Khan,https://cryptorank.io/funds/osama-khan,N/A, Angel Investor,N/A,Hologram,1
8074,Osione Itegboje,https://cryptorank.io/funds/osione-itegboje,N/A, Angel Investor,N/A,Afropolitan,1
8075,Othmane Bouhlal,https://cryptorank.io/funds/othmane-bouhlal,N/A, Angel Investor,N/A,Kinetix,1
8076,Ott Kaukver,https://cryptorank.io/funds/ott-kaukver,N/A, Angel Investor,United States,NFTPort,1
8077,Owen Colegrove,https://cryptorank.io/funds/owen-colegrove,N/A, Angel Investor,N/A,Notebook Labs,1
8078,Owl.eth,https://cryptorank.io/funds/owl-eth,N/A, Angel Investor,N/A,Portals,1
8079,Paavan Nanda,https://cryptorank.io/funds/paavan-nanda,N/A, Angel Investor,N/A,Glip,1
8080,PAID Network,https://cryptorank.io/funds/paid-network,N/A,Corporation,N/A,UniX Gaming,1
8081,Pamela Joseph,https://cryptorank.io/funds/pamela-joseph,N/A, Angel Investor,N/A,Ledgible,1
8082,Pankaj Shah,https://cryptorank.io/funds/pankaj-shah,N/A, Angel Investor,N/A,Experimental,1
8083,Pardon Makumbe,https://cryptorank.io/funds/pardon-makumbe,N/A, Angel Investor,N/A,Notabene,1
8084,PareenL,https://cryptorank.io/funds/pareenl,N/A, Angel Investor,UAE,Push Protocol,1
8085,Parikshit Dhar,https://cryptorank.io/funds/parikshit-dhar,N/A, Angel Investor,N/A,Lysto,1
8086,Parinya Narkprasert,https://cryptorank.io/funds/parinya-narkprasert,N/A, Angel Investor,N/A,AAG Ventures,1
8087,Paris Rouzati,https://cryptorank.io/funds/paris-rouzati,N/A, Angel Investor,N/A,Showtime,1
8088,Parker Conrad,https://cryptorank.io/funds/parker-conrad,N/A, Angel Investor,N/A,Pulley,1
8089,Parth Chopra,https://cryptorank.io/funds/parth-chopra,N/A, Angel Investor,N/A,Den,1
8090,PartyDAO,https://cryptorank.io/funds/party-dao,N/A,DAO,N/A,Utopia Labs,1
8091,Pascal Schumperli,https://cryptorank.io/funds/pascal-schumperli,N/A, Angel Investor,N/A,Mara,1
8092,Pasquale LaVecchia,https://cryptorank.io/funds/pasquale-lavecchia,N/A, Angel Investor,N/A,Catalog,1
8093,Pat Duffy,https://cryptorank.io/funds/pat-duffy,N/A, Angel Investor,N/A,Yellow Card,1
8094,Pato Jutard,https://cryptorank.io/funds/pato-jutard,N/A, Angel Investor,N/A,Experimental,1
8095,Patrick Chang,https://cryptorank.io/funds/patrick-chang,N/A, Angel Investor,N/A,Syndicate,1
8096,Patrick LaVecchia,https://cryptorank.io/funds/patrick-lavecchia,N/A, Angel Investor,N/A,Element Finance,1
8097,Patrick McDonald,https://cryptorank.io/funds/patrick-mcdonald,N/A, Angel Investor,N/A,Evertas,1
8098,Patrick Vizzone,https://cryptorank.io/funds/patrick-vizzone,N/A, Angel Investor,N/A,DiMuto,1
8099,Patryk Adas,https://cryptorank.io/funds/patryk-adas,N/A, Angel Investor,N/A,Blowfish,1
8100,Paul Buchheit,https://cryptorank.io/funds/paul-buchheit,N/A, Angel Investor,N/A,CoinTracker,1
8101,Paul Holland,https://cryptorank.io/funds/paul-holland,N/A, Angel Investor,United States,Overnight,1
8102,Paul J Martin,https://cryptorank.io/funds/paul-j-martin,N/A, Angel Investor,N/A,Switchboard,1
8103,Paul Mckellar,https://cryptorank.io/funds/paul-mckellar,N/A, Angel Investor,N/A,Golden,1
8104,Paul Menchov,https://cryptorank.io/funds/paul-menchov,N/A, Angel Investor,United States,MOBLAND,1
8105,Paul Nattapatsiri,https://cryptorank.io/funds/paul-nattapatsiri,N/A, Angel Investor,Thailand,Omm Tokens,1
8106,Paulo Hegler,https://cryptorank.io/funds/paulo-hegler,N/A, Angel Investor,N/A,Agrotools,1
8107,Paulo Silveira,https://cryptorank.io/funds/paulo-silveira,N/A, Angel Investor,N/A,Trace Finance,1
8108,Paul Rippon,https://cryptorank.io/funds/paul-rippon,N/A, Angel Investor,N/A,KodyPay,1
8109,pauls,https://cryptorank.io/funds/pauls,N/A, Angel Investor,N/A,Zunami Protocol,1
8110,Paul Sethi,https://cryptorank.io/funds/paul-sethi,N/A, Angel Investor,N/A,Upstream,1
8111,Paul Stamitou,https://cryptorank.io/funds/paul-stamitou,N/A, Angel Investor,N/A,XMTP,1
8112,Paul Tan,https://cryptorank.io/funds/paul-tan,N/A, Angel Investor,Hong Kong,DoinGud,1
8113,Paul Teather,https://cryptorank.io/funds/paul-teather,N/A, Angel Investor,United Kingdom,Coincover,1
8114,Paul Wachter,https://cryptorank.io/funds/paul-wachter,N/A, Angel Investor,United States,YOOM,1
8115,Paul Yacoubian,https://cryptorank.io/funds/paul-yacoubian,N/A, Angel Investor,N/A,buildspace,1
8116,Payitup,https://cryptorank.io/funds/payitup,N/A,Corporation,N/A,BoundlessPay (Bitfxt),1
8117,Pedar Muller,https://cryptorank.io/funds/pedar-muller,N/A, Angel Investor,N/A,DeFiSafety,1
8118,Pedro Campos,https://cryptorank.io/funds/pedro-campos,N/A, Angel Investor,N/A,Agrotools,1
8119,Penske Media Corporation,https://cryptorank.io/funds/penske-media,N/A,Venture,N/A,Unblocked,1
8120,Pet3r Pan,https://cryptorank.io/funds/pet3r-pan,N/A, Angel Investor,N/A,Myco,1
8121,Peter Bell,https://cryptorank.io/funds/peter-bell,N/A, Angel Investor,United States,Endstate,1
8122,Peter Chen,https://cryptorank.io/funds/peter-chen,N/A, Angel Investor,United States,MintGate,1
8123,Peter Diamandis,https://cryptorank.io/funds/peter-diamandis,N/A, Angel Investor,N/A,Onyxcoin,1
8124,Peter Grosskopf,https://cryptorank.io/funds/peter-grosskopf,N/A, Angel Investor,N/A,Otterspace,1
8125,Peter Hlavnick,https://cryptorank.io/funds/peter-hlavnick,N/A, Angel Investor,N/A,BuzzAR,1
8126,Peter Hoang,https://cryptorank.io/funds/peterhoangski,N/A, Angel Investor,N/A,DaoLens,1
8127,Peter Jennings,https://cryptorank.io/funds/peter-jennings,N/A, Angel Investor,United States,Flowty,1
8128,Peter Johnson,https://cryptorank.io/funds/peter-johnson,N/A, Angel Investor,United States,Alliance DAO,1
8129,Peter Kisadha,https://cryptorank.io/funds/peter-kisadha,N/A, Angel Investor,N/A,Stakefair,1
8130,Peter Liebert,https://cryptorank.io/funds/peter-liebert,N/A, Angel Investor,United States,Shield,1
8131,Peter Mitchell,https://cryptorank.io/funds/peter-mitchell,N/A, Angel Investor,N/A,Bastion Protocol,1
8132,Peter Overzet,https://cryptorank.io/funds/peter-overzet,N/A, Angel Investor,N/A,Flowty,1
8133,Peter Park,https://cryptorank.io/funds/peter-park,N/A, Angel Investor,N/A,Axie Infinity,1
8134,Peter Rive,https://cryptorank.io/funds/peter-rive,N/A, Angel Investor,United States,Dequency,1
8135,Peter Yard,https://cryptorank.io/funds/peter-yard,N/A, Angel Investor,N/A,Upstream,1
8136,Peyton Manning,https://cryptorank.io/funds/peyton-manning,N/A, Angel Investor,United States,Candy Digital,1
8137,Phani Kishan,https://cryptorank.io/funds/phani-kishan,N/A, Angel Investor,N/A,Leap Wallet,1
8138,Pharrell Williams,https://cryptorank.io/funds/pharrellwilliams,N/A, Angel Investor,United States,Holograph,1
8139,Phil Bonello,https://cryptorank.io/funds/phil-bonello,N/A, Angel Investor,United States,RareRound,1
8140,Phil Buck,https://cryptorank.io/funds/phil-buck,N/A, Angel Investor,N/A,Coincover,1
8141,Phil Chen,https://cryptorank.io/funds/phil-chen,N/A, Angel Investor,Hong Kong,Numbers Protocol,1
8142,Phil Doye,https://cryptorank.io/funds/phil-doye,N/A, Angel Investor,United States,Bottlepay,1
8143,Phil Huang,https://cryptorank.io/funds/phil-huang,N/A, Angel Investor,N/A,GammaSwap,1
8144,Philip Arthur Moore,https://cryptorank.io/funds/philip-arthur-moore,N/A, Angel Investor,N/A,Degis,1
8145,Philip Gasslander,https://cryptorank.io/funds/pgasslander,N/A, Angel Investor,United Kingdom,Altitude,1
8146,Philippe Suchet,https://cryptorank.io/funds/philippe-suchet,N/A, Angel Investor,N/A,Alinea,1
8147,Philipp Petrescu,https://cryptorank.io/funds/philipp-petrescu,N/A, Angel Investor,Germany,Alloy,1
8148,Philipp Treuner,https://cryptorank.io/funds/philipp-treuner,N/A, Angel Investor,N/A,Tangany,1
8149,Philip Stehlik,https://cryptorank.io/funds/philip-stehlik,N/A, Angel Investor,N/A,Otterspace,1
8150,Phil Rubin,https://cryptorank.io/funds/phil-rubin,N/A, Angel Investor,N/A,qiibee,1
8151,Phyrex,https://cryptorank.io/funds/phyrex,N/A, Angel Investor,N/A,AlienSwap,1
8152,Pierre Antoine Dusoulier,https://cryptorank.io/funds/pierre-antoine-dusoulier,N/A, Angel Investor,N/A,Januar,1
8153,Pierre Kosciusko-Morizet,https://cryptorank.io/funds/pierre-kosciusko-morizet,N/A, Angel Investor,N/A,ZenGo,1
8154,Pierre Lamond,https://cryptorank.io/funds/pierre-lamond,N/A, Angel Investor,N/A,PeerNova,1
8155,Pietro Invernizzi,https://cryptorank.io/funds/pietro-invernizzi,N/A, Angel Investor,United Kingdom,Young Platform,1
8156,Pim de Witte,https://cryptorank.io/funds/pim-de-witte,N/A, Angel Investor,N/A,Stardust,1
8157,Pitbull,https://cryptorank.io/funds/pitbull,N/A, Angel Investor,United States,immi,1
8158,Piyush Jain,https://cryptorank.io/funds/piyush-jain,N/A, Angel Investor,N/A,DaoLens,1
8159,Plural,https://cryptorank.io/funds/plural,N/A,Venture,N/A,Ready Player Me,1
8160,pNetwork,https://cryptorank.io/funds/pnetwork,N/A,Corporation,N/A,Blockchain Monster Hunt,1
8161,Polymesh Association,https://cryptorank.io/funds/polymesh,N/A,Corporation,N/A,DigiShares,1
8162,Poolpitako,https://cryptorank.io/funds/poolpitako,N/A, Angel Investor,N/A,CoW Protocol,1
8163,PopcornKirby,https://cryptorank.io/funds/popcornkirby,N/A, Angel Investor,N/A,UniWhales,1
8164,Post Malone,https://cryptorank.io/funds/post-malone,N/A, Angel Investor,N/A,MoonPay,1
8165,Potter Li,https://cryptorank.io/funds/potter-li,N/A, Angel Investor,N/A,KNN3 Network,1
8166,Pradyumna Agarwal,https://cryptorank.io/funds/pradyumna-agarwal,N/A, Angel Investor,N/A,Lysto,1
8167,Prasoon Agrawal,https://cryptorank.io/funds/prasoon-agrawal,N/A, Angel Investor,N/A,Dapps,1
8168,Prateek Jain,https://cryptorank.io/funds/prateek-jain,N/A, Angel Investor,N/A,ArGo,1
8169,Preethi Kasireddy,https://cryptorank.io/funds/preethi-kasireddy,N/A, Angel Investor,N/A,Push Protocol,1
8170,Preston Timeyin,https://cryptorank.io/funds/preston-timeyin,N/A, Angel Investor,N/A,Afropolitan,1
8171,Primary Wave,https://cryptorank.io/funds/primary-wave,N/A,Venture,N/A,Unblocked,1
8172,Priyanka Gill,https://cryptorank.io/funds/priyanka-gill,N/A, Angel Investor,N/A,IQ Protocol,1
8173,Psych,https://cryptorank.io/funds/psych,N/A, Angel Investor,N/A,Syndicate,1
8174,PT Great Giant Pineapple,https://cryptorank.io/funds/pt-great-giant-pineapple,N/A,Venture,N/A,DiMuto,1
8175,Puneet Kumar,https://cryptorank.io/funds/puneetiitm,N/A, Angel Investor,India,DaoLens,1
8176,Punk4156,https://cryptorank.io/funds/punk4156,N/A, Angel Investor,N/A,PartyDAO,1
8177,Pusha T,https://cryptorank.io/funds/pusha-t,N/A, Angel Investor,United States,Audius,1
8178,Qasim Munye,https://cryptorank.io/funds/qasim-munye,N/A, Angel Investor,N/A,buildspace,1
8179,Qinwen Wang,https://cryptorank.io/funds/qinwen-wang,N/A, Angel Investor,N/A,Artory,1
8180,Quantum Art,https://cryptorank.io/funds/quantum-art,N/A,Corporation,United States,Unicorn DAO,1
8181,Queenie Wu,https://cryptorank.io/funds/queenie-wu,N/A, Angel Investor,N/A,Alliance DAO,1
8182,Quentin Vanoekel,https://cryptorank.io/funds/quentin-vanoekel,N/A, Angel Investor,Singapore,Finblox,1
8183,Quincy Smith,https://cryptorank.io/funds/quincy-smith,N/A, Angel Investor,N/A,Dave,1
8184,Raban von Spiegel,https://cryptorank.io/funds/raban-von-spiegel,N/A, Angel Investor,Germany,Alloy,1
8185,Radek Ostrowski,https://cryptorank.io/funds/radek-ostrowski,N/A, Angel Investor,Australia,prePO,1
8186,Rafael Corrales,https://cryptorank.io/funds/rafael-corrales,N/A, Angel Investor,N/A,Blockchain.com,1
8187,Rafael Ilishayev,https://cryptorank.io/funds/rafael-ilishayev,N/A, Angel Investor,N/A,Bubblehouse,1
8188,Raf Michalowski,https://cryptorank.io/funds/raf-michalowski,N/A, Angel Investor,N/A,Engage Raise,1
8189,Raghunandan G,https://cryptorank.io/funds/raghunandan-g,N/A, Angel Investor,N/A,Gari Network,1
8190,Raghu Yarlagadda,https://cryptorank.io/funds/raghu-yarlagadda,N/A, Angel Investor,N/A,Pluang,1
8191,rahilla,https://cryptorank.io/funds/rahilla,N/A, Angel Investor,N/A,Hume,1
8192,Rahul Chaudhary,https://cryptorank.io/funds/rahulchaudhary,N/A, Angel Investor,India,Revise,1
8193,Rahul Jindal,https://cryptorank.io/funds/rahul-jindal,N/A, Angel Investor,India,Listed Fans,1
8194,Rahul Mehta,https://cryptorank.io/funds/rahul-mehta,N/A, Angel Investor,N/A,Kyash,1
8195,Rahul Sethuram,https://cryptorank.io/funds/rahul-sethuram,N/A, Angel Investor,UAE,LI.FI,1
8196,Rajat Gahlot,https://cryptorank.io/funds/rajat-gahlot,N/A, Angel Investor,UAE,WeFi Finance,1
8197,Rajat Sharma,https://cryptorank.io/funds/rajat-sharma,N/A, Angel Investor,India,Gari Network,1
8198,Rajeev Gupta,https://cryptorank.io/funds/rajeev-gupta,N/A, Angel Investor,N/A,Bookvala,1
8199,Rajeev Misra,https://cryptorank.io/funds/rajeev-misra,N/A, Angel Investor,N/A,Hike,1
8200,Rajesh Bansal,https://cryptorank.io/funds/rajesh-bansal,N/A, Angel Investor,N/A,Bookvala,1
8201,Rajesh Chelapurath,https://cryptorank.io/funds/rajesh-chelapurath,N/A, Angel Investor,N/A,Nuo,1
8202,Rajesh Yabaji,https://cryptorank.io/funds/rajesh-yabaji,N/A, Angel Investor,N/A,AlmaBetter,1
8203,Raj Kansara,https://cryptorank.io/funds/raj-kansara,N/A, Angel Investor,N/A,WeFi Finance,1
8204,Rakesh Kaul,https://cryptorank.io/funds/rakesh-kaul,N/A, Angel Investor,N/A,nCore Games,1
8205,Ramanathan RV,https://cryptorank.io/funds/ramanathanrv,N/A, Angel Investor,N/A,Zamp,1
8206,Ramon Recuero,https://cryptorank.io/funds/ramon-recuero,N/A, Angel Investor,N/A,Syndicate,1
8207,Ram Parameswaran,https://cryptorank.io/funds/ram-parameswaran,N/A, Angel Investor,N/A,LootRush,1
8208,Randy Hana,https://cryptorank.io/funds/randy-hana,N/A, Angel Investor,N/A,Stably USDS Classic,1
8209,Randy Reddig,https://cryptorank.io/funds/randy-reddig,N/A, Angel Investor,United States,Stronghold Token,1
8210,Randy Saaf,https://cryptorank.io/funds/randy-saaf,N/A, Angel Investor,N/A,Lucid Sight,1
8211,Raphaël Mazet,https://cryptorank.io/funds/raphmazet,N/A, Angel Investor,Portugal,Altitude,1
